calc_type,ccpV5Z,ccpV_extr,aug_ccpV5Z,aug_ccpV_extr,ccsd_ccpV5Z,ccsd_ccpV_extr,lowest_extrapolated
hf_ccsdt_CCSD(T),-0.3115883839469973,-0.32264154520748856,-0.3130514949909866,-0.32220197109237636,-0.30548892364899416,-0.3160618145306644,cc-p*
df-hf_df-ccsdt_CCSD(T),-0.31172295803099814,-0.32272050120618745,-0.31318133181400754,-0.3222085598279339,-0.30562310451298913,-0.31614904749132583,cc-p*
hf_mp2_MP2,-0.30616632079400574,-0.3176866427707685,-0.30796948876698593,-0.31779066265918193,,,aug-cc-p*
df-hf_df-ccsdt-f12_CCSD(T)-F12,-0.31992854641200097,-0.3250958782447429,-0.3202644779520085,-0.3244444218852968,-0.30341920626801766,-0.3146151145441092,cc-p*
df-hf_df-ccsdt-f12_MP2-F12,-0.31882202009100524,-0.32239830731103636,-0.31909466244900386,-0.32188558236885717,,,cc-p*
